index,text,image,group,id,tag
234,0,0,0,234,Object
235,1,0,0,235,Object
236,1,0,0,236,Object
237,1,0,0,237,Relation
238,0,0,0,238,Relation
239,1,0,0,239,Relation
240,0,0,0,240,Relation
241,0,0,0,241,Relation
242,1,0,0,242,Relation
243,0,0,0,243,Object
244,1,0,0,244,Relation
245,1,0,0,245,Object
246,0,0,0,246,Object
247,1,1,1,247,Object
248,0,0,0,248,Relation
249,0,0,0,249,Object
250,1,1,1,250,Object
251,1,0,0,251,Object
252,1,0,0,252,Relation
253,1,0,0,253,Relation
254,0,0,0,254,Relation
255,0,0,0,255,Object
256,0,0,0,256,Object
257,1,1,1,257,Object
258,0,0,0,258,Relation
259,1,0,0,259,Relation
260,1,0,0,260,Relation
261,0,1,0,261,Relation
262,0,0,0,262,Both
263,0,0,0,263,Relation
264,0,0,0,264,Object
265,0,0,0,265,Object
266,0,0,0,266,Relation
267,0,0,0,267,Relation
268,0,0,0,268,Relation
269,1,1,1,269,Relation
270,0,0,0,270,Relation
271,1,0,0,271,Relation
272,1,0,0,272,Object
273,1,0,0,273,Relation
274,0,0,0,274,Object
275,0,0,0,275,Object
276,0,0,0,276,Relation
277,0,0,0,277,Relation
278,0,0,0,278,Relation
279,1,0,0,279,Relation
280,0,0,0,280,Relation
281,0,0,0,281,Relation
282,0,0,0,282,Relation
283,0,1,0,283,Relation
284,1,0,0,284,Relation
285,0,0,0,285,Object
286,0,0,0,286,Object
287,1,0,0,287,Relation
288,0,0,0,288,Relation
289,0,0,0,289,Object
290,0,0,0,290,Object
291,0,0,0,291,Relation
292,0,0,0,292,Relation
293,0,0,0,293,Object
294,0,0,0,294,Relation
295,0,0,0,295,Relation
296,1,0,0,296,Object
297,0,0,0,297,Relation
298,0,0,0,298,Relation
299,0,0,0,299,Relation
300,0,0,0,300,Relation
301,0,0,0,301,Object
302,0,0,0,302,Object
303,1,1,1,303,Relation
304,0,0,0,304,Relation
305,1,0,0,305,Both
306,0,0,0,306,Object
307,0,0,0,307,Both
308,0,0,0,308,Relation
309,0,0,0,309,Object
310,0,0,0,310,Object
311,1,1,1,311,Relation
312,0,0,0,312,Relation
313,0,0,0,313,Object
314,0,0,0,314,Relation
315,0,0,0,315,Object
316,0,0,0,316,Relation
317,0,0,0,317,Relation
318,1,1,1,318,Relation
319,0,0,0,319,Object
320,1,0,0,320,Object
321,0,0,0,321,Both
322,1,0,0,322,Object
323,0,0,0,323,Object
324,1,0,0,324,Object
325,1,1,1,325,Both
326,1,0,0,326,Relation
327,1,1,1,327,Both
328,0,1,0,328,Relation
329,1,0,0,329,Relation
330,0,0,0,330,Relation
331,0,0,0,331,Relation
332,1,0,0,332,Object
333,0,0,0,333,Both
334,1,0,0,334,Both
335,1,0,0,335,Relation
336,0,0,0,336,Relation
337,1,0,0,337,Both
338,0,0,0,338,Relation
339,1,0,0,339,Object
340,1,0,0,340,Relation
341,1,0,0,341,Relation
342,0,0,0,342,Both
343,1,0,0,343,Relation
344,0,0,0,344,Object
345,0,0,0,345,Relation
346,0,0,0,346,Relation
347,0,0,0,347,Relation
348,0,0,0,348,Relation
349,0,0,0,349,Object
350,0,0,0,350,Both
