tag,text,image,group,n
Relation,0.30472103004291845,0.09012875536480687,0.04721030042918455,233
Object,0.3900709219858156,0.10638297872340426,0.0851063829787234,141
Both,0.5,0.3076923076923077,0.2692307692307692,26
